model,model_path,task_id,target_tool,y_tokens,y_log_probability,z_tokens,z_log_probability,a_tokens,a_log_probability,chain_rule_residual
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,isEven (humor)::1,checkNumber,36,-0.020563125610351562,13,-0.020383834838867188,23,-0.000179290771484375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,The Muse::0,searchJobs,70,-0.44431304931640625,25,-0.3467750549316406,45,-0.09753799438476562,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,The Muse::1,getJobApplications,48,-0.07772254943847656,17,-0.07131385803222656,31,-0.00640869140625,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Dictum::0,getRandomQuote,33,-1.6968154907226562,15,-1.6966571807861328,18,-0.0001583099365234375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Dictum::1,searchExpressions,54,-1.0819053649902344,17,-0.8905525207519531,37,-0.19135284423828125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,British National Bibliography::0,searchBooks,40,-0.6852130889892578,14,-0.6289558410644531,26,-0.05625724792480469,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,British National Bibliography::1,searchBooks,42,-1.7142295837402344,14,-1.7071685791015625,28,-0.007061004638671875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Pastebin::0,getUserPastes,62,-1.2249374389648438,23,-1.2220382690429688,39,-0.002899169921875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Pastebin::1,getTrendingPastes,44,-1.375640869140625,24,-1.362945556640625,20,-0.0126953125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Coinlib::0,getCoinData,40,-4.87428092956543,16,-4.838710784912109,24,-0.03557014465332031,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Coinlib::1,getCoinData,41,-1.1478710174560547,17,-0.8142242431640625,24,-0.3336467742919922,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,NovaDax::0,getDepth,58,-0.101898193359375,25,-0.0424957275390625,33,-0.0594024658203125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,NovaDax::1,getTrades,61,-0.19260406494140625,26,-0.1268768310546875,35,-0.06572723388671875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,PUBG::0,getPlayer,51,-1.2128925323486328,26,-0.8220424652099609,25,-0.3908500671386719,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,PUBG::1,getPlayer,42,-0.7472019195556641,15,-0.3031883239746094,27,-0.4440135955810547,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Rick and Morty::0,getAllLocations,46,-1.413604736328125,23,-1.3638992309570312,23,-0.04970550537109375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Rick and Morty::1,getCharacterById,40,-1.0499839782714844,18,-0.6827144622802734,22,-0.36726951599121094,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,News::0,getTopHeadlines,63,-5.991064071655273,19,-4.39324951171875,44,-1.5978145599365234,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,News::1,getEverything,122,-6.302671432495117,44,-2.658658981323242,78,-3.644012451171875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Mixcloud::0,search,52,-0.44402313232421875,19,-0.4342365264892578,33,-0.009786605834960938,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Mixcloud::1,search,53,-1.368356704711914,16,-1.260599136352539,37,-0.107757568359375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Agify.io::0,getAge,36,-0.1537933349609375,15,-0.15371131896972656,21,-8.20159912109375e-05,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Agify.io::1,getAge,36,-0.07994651794433594,15,-0.07988739013671875,21,-5.91278076171875e-05,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,StackExchange__2::0,get-user,49,-3.1815452575683594,14,-2.491018295288086,35,-0.6905269622802734,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,StackExchange__2::1,get-user,52,-0.7102584838867188,17,-0.08034706115722656,35,-0.6299114227294922,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,WakaTime::0,getStats,74,-2.9378604888916016,17,-0.04468345642089844,57,-2.893177032470703,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,WakaTime::1,getDetails,66,-19.551715850830078,21,-1.4236011505126953,45,-18.128114700317383,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Movie Quote::0,getRandomMovieQuote,36,-0.4691753387451172,17,-0.46893310546875,19,-0.0002422332763671875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Movie Quote::1,getFilteredQuote,48,-0.6869297027587891,22,-0.6822242736816406,26,-0.0047054290771484375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,The Old Reader::0,getUserFeeds,58,-2.4461307525634766,31,-1.5994434356689453,27,-0.8466873168945312,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,The Old Reader::1,getUserFeeds,49,-4.7514801025390625,22,-4.1387786865234375,27,-0.612701416015625,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Doge-Meme::0,getMemeDetails,47,-0.9971427917480469,20,-0.9969234466552734,27,-0.0002193450927734375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Doge-Meme::1,getTopMemes,48,-0.024114608764648438,24,-0.016401290893554688,24,-0.00771331787109375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Czech Television::0,getWeeklyTVProgram,58,-1.1922016143798828,24,-0.047161102294921875,34,-1.145040512084961,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Czech Television::1,searchTVPrograms,66,-5.6610870361328125,20,-1.3547077178955078,46,-4.306379318237305,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Geokeo::0,batchGeocode,76,-0.3535480499267578,17,-0.35239410400390625,59,-0.0011539459228515625,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Geokeo::1,geocode,47,-2.14813232421875,19,-2.1473217010498047,28,-0.0008106231689453125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Catch The Show::0,searchTvShow,49,-0.8699607849121094,23,-0.5116119384765625,26,-0.3583488464355469,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Catch The Show::1,searchTvShow,39,-0.39868927001953125,12,-0.3965873718261719,27,-0.002101898193359375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,"Transport for Vancouver, Canada__3::0",findStationsOrStops,82,-0.35798072814941406,28,-0.14345550537109375,54,-0.2145252227783203,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,"Transport for Vancouver, Canada__3::1",findStationsOrStops,74,-0.4067058563232422,20,-0.06690788269042969,54,-0.3397979736328125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Google Books::0,updateReadingStatus,62,-0.027210235595703125,19,-0.026838302612304688,43,-0.0003719329833984375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Google Books::1,getFeaturedBooks,43,-1.6048450469970703,18,-1.596597671508789,25,-0.00824737548828125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,PhishStats::0,searchPhishingDatabase,49,-0.3129920959472656,24,-0.3077545166015625,25,-0.005237579345703125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,PhishStats::1,getPhishingDomainInfo,48,-0.6837520599365234,22,-0.6832370758056641,26,-0.000514984130859375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,RuneScape::0,getEnemyInfo,47,-0.09291648864746094,20,-0.09138107299804688,27,-0.0015354156494140625,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,RuneScape::1,getSkillInfo,46,-0.1412982940673828,21,-0.1412372589111328,25,-6.103515625e-05,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,"Transport for Vancouver, Canada::0",getStaticSchedules,43,-0.6111392974853516,18,-0.5825538635253906,25,-0.028585433959960938,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,"Transport for Vancouver, Canada::1",getStopsAndRoutesByLocation,70,-1.4660453796386719,14,-0.2580585479736328,56,-1.207986831665039,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,TransitLand::0,searchStops,57,-2.373889923095703,22,-0.5611648559570312,35,-1.8127250671386719,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,TransitLand::1,searchStops,56,-2.674936294555664,13,-0.1656169891357422,43,-2.509319305419922,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Giphy__2::0,searchGifs,39,-1.7006855010986328,15,-0.5400733947753906,24,-1.1606121063232422,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Giphy__2::1,searchGifs,49,-1.8485755920410156,19,-0.24164390563964844,30,-1.6069316864013672,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,bng2latlong::0,convertEastingNorthingToLatLong,65,-0.270904541015625,18,-0.2697620391845703,47,-0.0011425018310546875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,bng2latlong::1,reverseGeocodeLatLongToEastingNorthing,85,-0.3060741424560547,34,-0.30446434020996094,51,-0.00160980224609375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,CO2 Offset::0,calculateCarbonEmissions,68,-8.725784301757812,26,-8.711143493652344,42,-0.01464080810546875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,CO2 Offset::1,calculateCarbonEmissions,73,-0.9570865631103516,26,-0.9274120330810547,47,-0.029674530029296875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,"Open Government, Poland::0",searchDatasets,47,-0.28839874267578125,14,-0.2823314666748047,33,-0.0060672760009765625,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,"Open Government, Poland::1",searchDatasets,45,-0.04668998718261719,13,-0.03472900390625,32,-0.011960983276367188,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,TheMealDB::0,searchMealByIngredient,41,-1.9744338989257812,12,-1.9357833862304688,29,-0.0386505126953125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,TheMealDB::1,searchMealByName,48,-1.380615234375,21,-0.9950580596923828,27,-0.3855571746826172,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Nutritionix__2::0,calculateNutritionForRecipe,91,-0.3421192169189453,14,-0.3220081329345703,77,-0.020111083984375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Nutritionix__2::1,getVendingMachineData,57,-0.06904220581054688,27,-0.06625938415527344,30,-0.0027828216552734375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Forismatic::0,searchQuote,50,-0.6739158630371094,21,-0.29810333251953125,29,-0.3758125305175781,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Forismatic::1,searchQuote,54,-1.0955352783203125,20,-0.6093540191650391,34,-0.48618125915527344,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Google Safe Browsing::0,checkUrlSafety,37,-0.9715938568115234,9,-0.9713306427001953,28,-0.000263214111328125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Google Safe Browsing::1,checkMultipleUrlsSafety,67,-0.6945552825927734,24,-0.6935195922851562,43,-0.0010356903076171875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Noctua::0,getHistoricalWeatherData,79,-3.3755760192871094,19,-3.3744049072265625,60,-0.001171112060546875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Noctua::1,getHistoricalWeatherData,82,-1.4140625,19,-1.1771125793457031,63,-0.23694992065429688,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Giphy::0,getTrendingGifs,61,-3.0531749725341797,19,-1.650686264038086,42,-1.4024887084960938,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Giphy::1,searchGifs,81,-1.0015544891357422,21,-0.23031234741210938,60,-0.7712421417236328,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Yo Momma Jokes::0,getRandomJoke,34,-2.2312469482421875,16,-0.4516124725341797,18,-1.7796344757080078,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Yo Momma Jokes::1,getCustomJoke,56,-1.7560043334960938,31,-1.7557430267333984,25,-0.0002613067626953125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,JSONbin.io::0,createBin,43,-0.5529842376708984,12,-0.24770164489746094,31,-0.3052825927734375,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Wikidata::0,searchItems,66,-28.775615692138672,27,-19.53145408630371,39,-9.244161605834961,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Wikidata::1,getItemDetails,55,-10.652746200561523,21,-10.542482376098633,34,-0.11026382446289062,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Time Door::0,PredictionAlgorithmForMachineLearningModels,124,-41.50039291381836,20,-9.705371856689453,104,-31.795021057128906,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,ipapi.com::0,geolocationLookup,49,-56.27920722961426,19,-52.89011001586914,30,-3.389097213745117,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,ipapi.com::1,geolocationLookup,57,-52.931209564208984,21,-52.914642333984375,36,-0.016567230224609375,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Quarantine::0,getCountryTimeline,48,-14.77407455444336,22,-14.76641845703125,26,-0.007656097412109375,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Quarantine::1,getCountryStats,37,-8.715105056762695,13,-8.218181610107422,24,-0.49692344665527344,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Tradier::0,getHistoricalData,76,-11.202333450317383,16,-11.193357467651367,60,-0.008975982666015625,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Tradier::1,getMarketCalendar,48,-13.779508590698242,15,-13.761728286743164,33,-0.017780303955078125,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Final Fantasy XIV::0,getItem,49,-13.200508117675781,23,-13.029121398925781,26,-0.17138671875,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Final Fantasy XIV::1,getAchievement,47,-13.368356704711914,16,-12.339672088623047,31,-1.0286846160888672,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Monster Hunter World::0,searchWeapons,67,-18.433616638183594,36,-16.693675994873047,31,-1.7399406433105469,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Monster Hunter World::1,searchQuests,62,-41.74264717102051,30,-39.91302490234375,32,-1.8296222686767578,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,RSS feed to JSON::0,getFeedItemsByTag,66,-32.19512367248535,21,-32.14387130737305,45,-0.05125236511230469,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,RSS feed to JSON::1,sortFeedItems,68,-42.384727478027344,22,-42.31880569458008,46,-0.06592178344726562,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PandaDoc::0,createTemplate,76,-16.86503791809082,16,-6.61195182800293,60,-10.25308609008789,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PandaDoc::1,getDetails,45,-29.551172256469727,15,-6.616416931152344,30,-22.934755325317383,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Urban Observatory::0,getSensorLocations,33,-23.576412200927734,14,-23.412025451660156,19,-0.16438674926757812,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Urban Observatory::1,getHistoricalSensorData,104,-39.09589958190918,16,-19.72352409362793,88,-19.37237548828125,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GrünstromIndex::0,getHistoricalGreenPowerIndex,75,-20.967254638671875,21,-15.814395904541016,54,-5.152858734130859,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GrünstromIndex::1,getGreenPowerIndexCalculation,39,-12.313606262207031,19,-11.91140365600586,20,-0.4022026062011719,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dangerous Discord Database::0,searchMaliciousAccounts,50,-14.92996597290039,22,-14.833440780639648,28,-0.09652519226074219,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dangerous Discord Database::1,searchMaliciousAccounts,59,-41.411203384399414,28,-41.3935432434082,31,-0.017660140991210938,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GraphHopper::0,getDetails,51,-34.908748626708984,18,-22.169538497924805,33,-12.73921012878418,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GraphHopper::1,routeOptimization,167,-50.171810150146484,19,-12.077123641967773,148,-38.09468650817871,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,isEven (humor)::0,checkNumber,37,-32.4215202331543,13,-32.254249572753906,24,-0.16727066040039062,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,isEven (humor)::1,checkNumber,36,-37.346906661987305,13,-37.1322078704834,23,-0.21469879150390625,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,The Muse::0,searchJobs,70,-12.215066909790039,25,-9.842805862426758,45,-2.3722610473632812,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,The Muse::1,getJobApplications,48,-5.84950065612793,17,-5.784156799316406,31,-0.06534385681152344,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dictum::0,getRandomQuote,33,-41.68377113342285,15,-36.91535949707031,18,-4.768411636352539,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dictum::1,searchExpressions,54,-54.68947410583496,17,-36.08367156982422,37,-18.605802536010742,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,British National Bibliography::0,searchBooks,40,-8.980697631835938,14,-8.140640258789062,26,-0.840057373046875,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,British National Bibliography::1,searchBooks,42,-9.35038948059082,14,-6.371511459350586,28,-2.9788780212402344,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Pastebin::0,getUserPastes,62,-55.445838928222656,23,-48.61079978942871,39,-6.835039138793945,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Pastebin::1,getTrendingPastes,44,-31.84251594543457,24,-18.576196670532227,20,-13.266319274902344,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Coinlib::0,getCoinData,40,-15.503673553466797,16,-14.041738510131836,24,-1.461935043334961,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Coinlib::1,getCoinData,41,-9.733976364135742,17,-8.9512939453125,24,-0.7826824188232422,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,NovaDax::0,getDepth,58,-1.9485149383544922,25,-1.5425186157226562,33,-0.40599632263183594,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,NovaDax::1,getTrades,61,-4.363002777099609,26,-3.8835277557373047,35,-0.4794750213623047,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PUBG::0,getPlayer,51,-33.15732765197754,26,-19.83635711669922,25,-13.32097053527832,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PUBG::1,getPlayer,42,-32.83854866027832,15,-18.63869857788086,27,-14.199850082397461,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Rick and Morty::0,getAllLocations,46,-9.161481857299805,23,-8.686872482299805,23,-0.474609375,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Rick and Morty::1,getCharacterById,40,-2.840057373046875,18,-2.5629634857177734,22,-0.27709388732910156,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,News::0,getTopHeadlines,63,-82.31803894042969,19,-47.59725379943848,44,-34.72078514099121,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,News::1,getEverything,122,-87.84261703491211,44,-21.46381187438965,78,-66.37880516052246,0.0
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Mixcloud::0,search,52,-28.438701629638672,19,-12.030733108520508,33,-16.407968521118164,0.0
